# Ręcznie dodane RSS-y (poza Feedly). Format: KATEGORIA | NAZWA | URL_RSS
# Dodawaj kolejne linie. Puste linie i # są ignorowane.
Videos | YT Channel UCUuISIr | https://www.youtube.com/feeds/videos.xml?channel_id=UCUuISIrVxpm8nYCbBfCnFvw
Videos | HardCore Worldwide | https://www.youtube.com/feeds/videos.xml?channel_id=UC1TRXhzgffReeSF9SYdFucw
Videos | Coachella | https://www.youtube.com/feeds/videos.xml?channel_id=UCHF66aWLOxBW4l6VkSrS3cQ
Videos | Hellfest Open Air Festival | https://www.youtube.com/feeds/videos.xml?channel_id=UCi7TehIHH5f6DxS8UP6qPhA
Videos | Fiddlehead | https://www.youtube.com/feeds/videos.xml?channel_id=UCt_fFHkK77Mnmed3HZTq4xA
Videos | HARDLORE | https://www.youtube.com/feeds/videos.xml?channel_id=UCx7xh8FbOV-RScKoHsDcOJA
Videos | KNOTFEST | https://www.youtube.com/feeds/videos.xml?channel_id=UC2LUkxI77a5XeoIeQJzmV4Q
Videos | WDR Rockpalast | https://www.youtube.com/feeds/videos.xml?channel_id=UCqXk3Lmgjj_hbN9cb6ht4wA
Videos | Equal Vision Records | https://www.youtube.com/feeds/videos.xml?channel_id=UC4sPlX6igstaXBAAgiwddVg
Videos | Spotify | https://www.youtube.com/feeds/videos.xml?channel_id=UCRMqQWxCWE0VMvtUElm-rEA
Videos | Garza Podcast | https://www.youtube.com/feeds/videos.xml?channel_id=UC0Ppe_VuMjrph8RrsIvjAww
Videos | Drum Center of Portsmouth | https://www.youtube.com/feeds/videos.xml?channel_id=UCtx_lgdneh-ZTw0vnnAvBpg
Videos | BBCRadio1VEVO | https://www.youtube.com/feeds/videos.xml?channel_id=UCKoafhJ9dkAWaEvlXCiBBwA
Videos | theneedledrop | https://www.youtube.com/feeds/videos.xml?channel_id=UCt7fwAhXDy3oNFTAzF2o8Pw
Videos | VIOLENT MOTION | https://www.youtube.com/feeds/videos.xml?channel_id=UCcmZl8_myJGxWMNYQLBiqcQ
Videos | Montana Media | https://www.youtube.com/feeds/videos.xml?channel_id=UC4UCSstP0qEkFHZjtH1Bv8w
Videos | Hola Soy Keto | https://www.youtube.com/feeds/videos.xml?channel_id=UCabhMugHn0d5FybCw2XriTA
Videos | Sad But True | https://www.youtube.com/feeds/videos.xml?channel_id=UCx3YqOp3C6aENmSA8CE4r3g
Videos | Old Towne Productions | https://www.youtube.com/feeds/videos.xml?channel_id=UCSdLr_XYTc81klh3y9gVsMw
Social | The Mosh Network (IG) | https://rss.app/feeds/FTkmLMJZRgc7I6pw.xml
Social | 23punk (IG) | https://rss.app/feeds/fRAhjZSNYF3sW8Gf.xml
IDIOTEQ | IDIOTEQ.com | https://idioteq.com/feed/
